eventID;ESTRATO;ESPECIE (ORIGINAL);ESPECIE (ACTUALIZADO);taxonRank;occurrenceRemarks;COBERTURA;ABUNDANCIA_AMENAZADAS;N¼ INDIVIDUOS
sor20140618;C;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;1;null;null
sor20140618;C;flor lila grande;flor lila grande;;Big violet flower;+;null;null
sor20140618;C;briza maxima;briza maxima;;;+;null;null
sor20140618;B;scirpioides holoschoenus;Scirpoides holoschoenus (L.) Soj‡k;species;;+;null;null
sor20140618;B;schoenus nigricans;schoenus nigricans;;;1;null;null
pun20130402;B1;corema album;Corema album;species;;4;1;1m
pun20130402;B1;stauracanthus genistoides;stauracanthus genistoides;;;4;null;null
pun20130402;B2;stauracanthus genistoides;stauracanthus genistoides;;;1;null;null
pun20130402;B2;lavandula stoechas;lavandula stoechas;;;2;null;null
pun20130402;B2;armeria pungens;armeria pungens;;;5;3;null
pun20130402;B2;scrophularia frutescens;scrophularia frutescens;;;1;null;null
pun20130402;B2;pinus pinea;pinus pinea;;;1;null;null
pun20130402;B2;corema album;Corema album;species;;2;3;2h+1m
pun20130402;C;senecio gallicus;senecio gallicus;;;4;null;null
pun20130402;C;armeria pungens plantulas;Armeria pungens (Link) Hoffmanns. & Link;species;;2;1;null
pun20130402;C;linaria tursica;Linaria tursica;species;;2;3;null
pun20130402;C;erodium aethiopicum;erodium aethiopicum;;;3;null;null
pun20130402;C;roseta;roseta;;;+;null;null
pun20130402;C;rumex angiocarpus;rumex angiocarpus;;;1;null;null
pun20130402;C;loeflingia baetica;loeflingia baetica;;;1;2;null
pun20130402;C;vulpia fontquerana;vulpia fontquerana;;;2;3;null
c3220130408;B1;corema album;Corema album;species;;3;8;3h+5m
c3220130408;B1;stauracanthus genistoides;stauracanthus genistoides;;;3;null;null
c3220130408;B1;cytisus grandiflorus;cytisus grandiflorus;;;1;2;null
c3220130408;B1;halimium halimifolium;halimium halimifolium;;;2;null;null
c3220130408;B2;thymus mastichina;thymus mastichina;;;2;null;null
c3220130408;B2;pinus pinea;pinus pinea;;;1;null;null
c3220130408;B2;halimium calycinum;halimium calycinum;;;1;null;null
c3220130408;B2;armeria pungens;armeria pungens;;;+;1;null
c3220130408;B2;corema album;Corema album;species;;+;1;1h
c3220130408;B2;helicrysum picardii;Helichrysum picardii Boiss. & Reut.;species;;+;null;null
c3220130408;B2;lavandula stoechas;lavandula stoechas;;;+;null;null
c3220130408;C;malcolmia triloba;malcolmia triloba;;;3;null;null
c3220130408;C;linaria spartea;linaria spartea;;;1;null;null
c3220130408;C;linaria tursica;Linaria tursica;species;;1;3;null
c3220130408;C;senecio gallicus;senecio gallicus;;;2;null;null
c3220130408;C;vulpia fontquerana;vulpia fontquerana;;;1;2;null
c3220130408;C;ononis baetica;ononis baetica;;;4;null;null
c3220130408;C;loeflingia baetica;loeflingia baetica;;;2;2;null
c3220130408;C;erodium aethiophicum;Erodium aethiopicum (Lam.) Brumh. & Thellung;species;;+;null;null
c3220130408;C;stauracanthus genistoides plantula;Stauracanthus genistoides (Brot.) Samp.;species;;+;null;null
c3220130408;C;pinus pinea plantula;Pinus pinea L.;species;;+;null;null
cor20130524;B;ulex minor;ulex minor;;;3;1;null
cor20130524;B;rubus ulmifolius ;rubus ulmifolius ;;;3;null;null
cor20130524;C1;asphodelus ramosus;asphodelus ramosus;;;4;null;null
cor20130524;C1;armeria gaditana;armeria gaditana;;;2;2;null
cor20130524;C1;cyperus longus;cyperus longus;;;1;null;null
cor20130524;C1;carex divisa;carex divisa;;;1;null;null
cor20130524;C1;anthoxanthum aristatum;anthoxanthum aristatum;;;2;null;null
cor20130524;C1;gaudinia fragilis;gaudinia fragilis;;;2;null;null
cor20130524;C1;chaetopogon fasciculatus;chaetopogon fasciculatus;;;1;null;null
cor20130524;C1;micropyropsis tuberosa;micropyropsis tuberosa;;;1;3;null
cor20130524;C1;bromus hordaceus;Bromus hordeaceus L.;species;;1;null;null
cor20130524;C1;briza minor;briza minor;;;1;null;null
cor20130524;C1;ranuculus trilobus;Ranunculus trilobus Desf.;species;;2;null;null
cor20130524;C1;rumex conglomeratus;rumex conglomeratus;;;+;null;null
cor20130524;C1;plantago lanceolata;plantago lanceolata;;;+;null;null
cor20130524;C2;baldellia ranunculoides ;baldellia ranunculoides ;;;+;null;null
cor20130524;C2;serapias lingua;serapias lingua;;;1;null;null
cor20130524;C2;silene laeta;silene laeta;;;1;null;null
cor20130524;C2;ornithopus pinnatus;ornithopus pinnatus;;;2;null;null
cor20130524;C2;centaurium maritimum;centaurium maritimum;;;+;null;null
cor20130524;C2;lotus subbiflorus ;lotus subbiflorus ;;;2;null;null
cor20130524;C2;trifolium dubium;trifolium dubium;;;2;null;null
cor20130524;C2;juncus bufonius;juncus bufonius;;;1;null;null
cor20130524;C2;juncus pigmaeus;Juncus pygmaeus Rich. ex Thuill.;species;;+;null;null
cor20130524;C2;isolepis setaceus;Isolepis setacea (L.) R.Br.;species;;1;null;null
cor20130524;C2;arcthoctheca calendula;Arctotheca calendula;species;;1;null;null
cor20130524;C2;anagallis arvensis;anagallis arvensis;;;1;null;null
cor20130524;C2;chamaemelum mixtum;chamaemelum mixtum;;;+;null;null
cor20130524;C2;lythrum junceum;lythrum junceum;;;+;null;null
cor20130524;C2;juncus heterophyllus;juncus heterophyllus;;;+;null;null
cor20130524;C2;cynodon dactilon ;Cynodon dactylon (L.) Pers. ;species;;+;null;null
cor20130524;C2;ornithopus sativus;ornithopus sativus;;;+;null;null
nsn20130715;A;panicum repens;panicum repens;;;1;null;null
nsn20130715;A;mentha pulegium;mentha pulegium;;;1;null;null
nsn20130715;A;illecebrum verticillatum;illecebrum verticillatum;;;1;null;null
nsn20130715;A;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;2;null;null
nsn20130715;A;agrostis stolonifera;agrostis stolonifera;;;5;null;null
nsn20130715;A;juncus heterophyllus;juncus heterophyllus;;;1;null;null
nsn20130715;A;galium palustre;galium palustre;;;1;null;null
nsn20130715;A;hypericum elodes;hypericum elodes;;;3;null;null
nsn20130715;A;anagallis tenella;anagallis tenella;;;+;null;null
nsn20130715;A;baldellia ranunculoides;baldellia ranunculoides;;;1;null;null
nsn20130715;A;juncus pigmaes;Juncus pygmaeus Rich. ex Thuill.;species;;+;null;null
nsn20130715;A;pulicaria paludosa;pulicaria paludosa;;;+;null;null
nsn20130715;A;exaculum pusillum;exaculum pusillum;;;1;null;null
nsn20130715;A;juncus tenageia;juncus tenageia;;;+;null;null
nsn20130715;A;juncus effusus;juncus effusus;;;+;null;null
nsn20130715;A;caropsis verticillato-inundata;Caropsis verticillatoinundata (Thore) Rauschert;species;;1;1;null
sor20130705;B;schoenus nigricans;schoenus nigricans;;;1;null;null
sor20130705;B;scirpoides holoschoenus;scirpoides holoschoenus;;;1;null;null
sor20130705;C;mentha pulegium;mentha pulegium;;;4;null;null
sor20130705;C;juncus tenageia;juncus tenageia;;;+;null;null
sor20130705;C;isolepis setaceus;Isolepis setacea (L.) R.Br.;species;;+;null;null
sor20130705;C;gnaphalium luteo-album;gnaphalium luteo-album;;;1;null;null
sor20130705;C;kickia cirrhosa;Kickxia cirrhosa;species;;3;null;null
sor20130705;C;panicum repens;panicum repens;;;3;null;null
sor20130705;C;anagallis arvensis;anagallis arvensis;;;+;null;null
sor20130705;C;agrostis stolonifera;agrostis stolonifera;;;5;null;null
sor20130705;C;radiola linoides;radiola linoides;;;1;null;null
sor20130705;C;thorella verticilato-inundata;Thorella verticillato-inundata (Thore) Briq.;species;;1;1;null
sor20130705;C;galium palustre;galium palustre;;;+;null;null
sor20130705;C;lobelia urens;lobelia urens;;;+;null;null
sor20130705;C;baldellia ranunculoides;baldellia ranunculoides;;;+;null;null
sor20130705;C;senecio sylvaticus;senecio sylvaticus;;;+;null;null
sor20130705;C;compuesta solo hojas basales;Asteraceae;family;Asteraceae with only basal leaves;+;null;null
cal20130605;B;juncus effusus;juncus effusus;;;3;null;null
cal20130605;B;juncus maritimus;juncus maritimus;;;3;null;null
cal20130605;C1;cyperus longus;cyperus longus;;;2;null;null
cal20130605;C1;lythrum junceum;lythrum junceum;;;2;null;null
cal20130605;C1;rumex conglomeratus;rumex conglomeratus;;;1;null;null
cal20130605;C1;galium palustre;galium palustre;;;1;null;null
cal20130605;C1;anthoxanthum aristatum;anthoxanthum aristatum;;;1;null;null
cal20130605;C1;asphodelus ramosus;asphodelus ramosus;;;3;null;null
cal20130605;C1;ranunculus trilobus;ranunculus trilobus;;;1;null;null
cal20130605;C1;oenanthe fistulosa;oenanthe fistulosa;;;1;null;null
cal20130605;C1;compuesta amarilla peluda;Asteraceae;family;Hairy Asteraceae;1;null;null
cal20130605;C1;juncus acutiflorus subsp rugosus;Juncus acutiflorus Ehrh. ex Hoffm.;species;;1;null;null
cal20130605;C1;lolium rigidum;lolium rigidum;;;+;null;null
cal20130605;C1;compuesta amarilla aprecida avellara;Asteraceae;family;Yellow Asteraceae similar to genus Avellara;1;null;null
cal20130605;C1;lathryrus palustris;Lathyrus palustris L.;species;;1;null;null
cal20130605;C2;silene laeta;silene laeta;;;2;null;null
cal20130605;C2;illecebrum verticillatum;illecebrum verticillatum;;;1;null;null
cal20130605;C2;cotula coronopifolia;cotula coronopifolia;;;1;null;null
cal20130605;C2;holcus lanatus;holcus lanatus;;;4;null;null
cal20130605;C2;mentha pulegium;mentha pulegium;;;1;null;null
cal20130605;C2;ranunculus ophioglossifolius;ranunculus ophioglossifolius;;;1;null;null
cal20130605;C2;panicum repens;panicum repens;;;4;null;null
cal20130605;C2;anthoxanthum aristatum;anthoxanthum aristatum;;;4;null;null
cal20130605;C2;lotus subbiflorus;lotus subbiflorus;;;1;null;null
cal20130605;C2;lythrum junceum;lythrum junceum;;;1;null;null
cal20130605;C2;graminea1;Poaceae;family;;2;null;null
cal20130605;C2;ornithopus sativus;ornithopus sativus;;;1;null;null
cal20130605;C2;juncus tenageia;juncus tenageia;;;1;null;null
cal20130605;C2;avellara fistulosa;avellara fistulosa;;;2;3;null
cal20130605;C2;lolium temulentum;lolium temulentum;;;1;null;null
cal20130605;C2;oenanthe fistulosa;oenanthe fistulosa;;;1;null;null
cal20130605;C2;myosotis ramossima;Myosotis ramosissima Rochel ex Schult.;species;;1;null;null
cal20130605;C2;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;2;null;null
cal20130605;C2;eleocharis multicaulis;eleocharis multicaulis;;;2;null;null
cal20130605;C2;juncus heterophyllus;juncus heterophyllus;;;3;null;null
cal20130605;C2;paspalum paspalodes;paspalum paspalodes;;;2;null;null
cal20130605;C2;baldellia ranunculoides;baldellia ranunculoides;;;2;null;null
