eventID;ESTRATO;ESPECIE (ORIGINAL);ESPECIE (ACTUALIZADO);taxonRank;occurrenceRemarks;COBERTURA;ABUNDANCIA_AMENAZADAS;N¼ INDIVIDUOS
c4d20140527;A;centranthus calcitrapae;centranthus calcitrapae;;;1;null;null
c4d20140527;A;plantago Sp;Plantago;genus;;1;null;null
c4d20140527;A;leguminosa 1;Fabaceae;family;;+;null;null
c4d20140527;A;briza maxima;briza maxima;;;1;null;null
c4d20140527;A;cyperus longus;cyperus longus;;;1;null;null
c4d20140527;A;graminea fina;Poaceae;family;;4;null;null
c4d20140527;A;anthoxantum aristatum;Anthoxanthum aristatum Boiss.;species;;3;null;null
c4d20140527;A;panicum repens;panicum repens;;;3;null;null
c4d20140527;A;anthemis mixta;anthemis mixta;;;1;null;null
c4d20140527;A;compuesta amarilla peque–a;Asteraceae;family;;1;null;null
c4d20140527;A;silene laeta;silene laeta;;;1;null;null
c4d20140527;A;chaetopogon fasciculatus;chaetopogon fasciculatus;;;2;null;null
c4d20140527;A;anagallis arvensis;anagallis arvensis;;;1;null;null
c4d20140527;A;arthoctheca calendula;Arctotheca calendula;species;;1;null;null
c4d20140527;A;gaudinia fragilis;gaudinia fragilis;;;2;null;null
c4d20140527;A;graminea 1;Poaceae;family;;2;null;null
c4d20140527;A;erodium sp;Erodium;genus;;1;null;null
c4d20140527;A;galium palustre;galium palustre;;;1;null;null
c4d20140527;A;sauce ;Salix;genus;;+;null;null
c4d20140527;A;leguminosa 2;Fabaceae;family;;+;null;null
c4d20140527;A;graminea peluda ;Poaceae;family;Hairy Poaceae;+;null;null
c4d20140527;A;ranunculus trilobus;ranunculus trilobus;;;+;null;null
c4d20140527;B;asphodelus ramosus;asphodelus ramosus;;;1;null;null
c4d20140527;B;armeria gaditana;armeria gaditana;;;1;null;null
c4d20140527;B;cardo;cardo;;;1;null;null
c4d20140527;B;compuesta amarilla grande ;Asteraceae;family;Big yellow Asteraceae;1;null;null
c4d20140527;B;rubus ulmifolius;rubus ulmifolius;;;1;null;null
c4d20140527;B;scirpus holoschoenus;scirpus holoschoenus;;;1;null;null
c4f20140526;A;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;2;null;null
c4f20140526;A;anthemis mixta;anthemis mixta;;;3;null;null
c4f20140526;A;plantago lanceolata;plantago lanceolata;;;3;null;null
c4f20140526;A;arthoctheca calendula;Arctotheca calendula;species;;3;null;null
c4f20140526;A;compuesta amarilla;Asteraceae;family;Yellow Asteraceae;3;null;null
c4f20140526;A;graminea 1;Poaceae;family;;3;null;null
c4f20140526;A;graminea 2;Poaceae;family;;1;null;null
c4f20140526;A;graminea 3;Poaceae;family;;1;null;null
c4f20140526;A;centaurium maritimum;centaurium maritimum;;;+;null;null
c4f20140526;A;anthoxantum cristatum;Anthoxantum aristatum;species;;2;null;null
c4f20140526;A;flores lilas;flores lilas;;Violet flowers;+;null;null
c4f20140526;A;gaudinia fragilis;gaudinia fragilis;;;1;null;null
c4f20140526;A;silene laeta;silene laeta;;;1;null;null
c4f20140526;A;lythrum junceum;lythrum junceum;;;+;null;null
c4f20140526;A;chaetopogon fasciculatus;chaetopogon fasciculatus;;;2;null;null
c4f20140526;A;rumex bucephalophorus;rumex bucephalophorus;;;+;null;null
c4f20140526;A;lotus subbiflorus;lotus subbiflorus;;;+;null;null
c4f20140526;A;ornithopus pinnatus;ornithopus pinnatus;;;+;null;null
c4f20140526;A;anagallis arvensis;anagallis arvensis;;;+;null;null
c4f20140526;A;ornithopus sativus;ornithopus sativus;;;+;null;null
c4f20140526;A;erodium aethiopicum;erodium aethiopicum;;;+;null;null
c4f20140526;B;armeria gaditana;armeria gaditana;;;5;null;null
pun20140428;B1;corema album;Corema album;species;;2;1;6
pun20140428;B1;stauracanthus genistoides;stauracanthus genistoides;;;1;null;null
pun20140428;B1;pinus pinea;pinus pinea;;;a;null;null
pun20140428;B2;armeria pungens;armeria pungens;;;2;1;2
pun20140428;B2;lavandula stoechas;lavandula stoechas;;;1;null;null
pun20140428;B2;scrophularia frutescens;scrophularia frutescens;;;+;null;null
pun20140428;B2;rumex Sp grande;Rumex;genus;Big rumex sp.;+;null;null
pun20140428;C;senecio gallicus;senecio gallicus;;;1;null;null
pun20140428;C;loeflingia baetica;loeflingia baetica;;;1;4;null
pun20140428;C;vulpia membranacea;vulpia membranacea;;;1;null;null
pun20140428;C;rumex angiocarpus;rumex angiocarpus;;;1;null;null
pun20140428;C;silene nicaeensis;silene nicaeensis;;;1;null;null
pun20140428;C;erodium aethiopicum;erodium aethiopicum;;;1;null;null
pun20140428;C;armeria pungens plantula;Armeria pungens (Link) Hoffmanns. & Link;species;;1;null;null
pun20140428;C;corynephorus canescens;corynephorus canescens;;;1;null;null
pun20140428;C;linaria tursica;Linaria tursica;species;;1;4;null
pun20140428;D;suelo desnudo;;;bare ground;5;null;null
c3220140428;B1;corema album;Corema album;species;;2;1;2
c3220140428;B1;stauracanthus genistoides;stauracanthus genistoides;;;2;null;null
c3220140428;B1;halimium halimifolium;halimium halimifolium;;;2;null;null
c3220140428;B1;cytisus grandiflorus;cytisus grandiflorus;;;+;1;null
c3220140428;B2;thymus mastichina;thymus mastichina;;;1;null;null
c3220140428;B2;halimium calycinum;halimium calycinum;;;1;null;null
c3220140428;B2;pinus pinea;pinus pinea;;;1;null;null
c3220140428;B2;lavandula stoechas;lavandula stoechas;;;1;null;null
c3220140428;B2;armeria pungens;armeria pungens;;;+;1;null
c3220140428;B2;helychisum picardii;Helichrysum picardii;species;;+;null;null
c3220140428;C;malcolmia triloba;malcolmia triloba;;;1;null;null
c3220140428;C;linaria spartea;linaria spartea;;;1;null;null
c3220140428;C;linaria tursica;Linaria tursica;species;;1;3;null
c3220140428;C;loeflingia baetica;loeflingia baetica;;;1;3;null
c3220140428;C;ononis baetica;ononis baetica;;;1;null;null
c3220140428;C;vulpia membranacea;vulpia membranacea;;;1;null;null
c3220140428;C;stauracanthus genistoides plantula;Stauracanthus genistoides (Brot.) Samp.;species;;1;null;null
c3220140428;C;senecio gallicus;senecio gallicus;;;1;null;null
c3220140428;D;suelo desnudo;;;bare ground;4;null;null
c2d20140521;B;armeria gaditana;armeria gaditana;;;5;3;null
c2d20140521;B;asphodelus ramosus;asphodelus ramosus;;;+;null;null
c2d20140521;C;anthoxantum  ?;Anthoxanthum;genus;;5;null;null
c2d20140521;C;graminea fina;Poaceae;family;Thin Poaceae/Gramineae.;3;null;null
c2d20140521;C;arthoctheca calendula;Arctotheca calendula;species;;1;null;null
c2d20140521;C;gaudinia fragilis;gaudinia fragilis;;;1;null;null
c2d20140521;C;centratus calcitrapae;Centrathus calcitrapae;species;;+;null;null
c2d20140521;C;chaetopogon fasciculatus;chaetopogon fasciculatus;;;1;null;null
c2d20140521;C;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;1;null;null
c2d20140521;C;anagallis arvensis;anagallis arvensis;;;1;null;null
c2d20140521;C;phragmites australis;phragmites australis;;;1;null;null
c2d20140521;C;cardo ?;cardo ?;;;1;null;null
c2d20140521;C;briza maxima;briza maxima;;;1;null;null
c2d20140521;C;lotus subbiflorus;lotus subbiflorus;;;1;null;null
c2d20140521;C;compuesta amarilla;Asteraceae;family;Yellow Asteraceae;1;null;null
c2f20140521;B;armeria gaditana;armeria gaditana;;;5;3;null
c2f20140521;B;asphodelus ramosus;asphodelus ramosus;;;1;null;null
c2f20140521;C;anthoxantum aristatum;Anthoxanthum aristatum Boiss.;species;;3;null;null
c2f20140521;C;arthoctheca calendula;Arctotheca calendula;species;;3;null;null
c2f20140521;C;chaetopogon fasciculatus;chaetopogon fasciculatus;;;2;null;null
c2f20140521;C;gaudinia fragilis;gaudinia fragilis;;;2;null;null
c2f20140521;C;anagallis arvensis;anagallis arvensis;;;1;null;null
c2f20140521;C;lotus subbiflorus;lotus subbiflorus;;;1;null;null
c2f20140521;C;silene laeta;silene laeta;;;1;null;null
c2f20140521;C;illecebrum verticillatum;illecebrum verticillatum;;;1;null;null
c2f20140521;C;anthemis mixta;anthemis mixta;;;1;null;null
c2f20140521;C;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;1;null;null
c2f20140521;C;graminea 2;Poaceae;family;;+;null;null
c2f20140521;C;compuesta amarilla peque–a;Asteraceae;family;;1;null;null
c2f20140521;C;ornithopus sativus;ornithopus sativus;;;1;null;null
c2f20140521;C;trifolium dubium;trifolium dubium;;;1;null;null
c2f20140521;C;panicum repens;panicum repens;;;1;null;null
c2f20140521;C;cardo?;cardo?;;;1;null;null
c2f20140521;C;plantago lanceolata;plantago lanceolata;;;1;null;null
c2f20140521;C;trifolium amarillo;Trifolium;genus;;1;null;null
cal20140513;B;juncus maritimus;juncus maritimus;;;2;null;null
cal20140513;B;juncus effusus;juncus effusus;;;2;null;null
cal20140513;C1;cyperus longus;cyperus longus;;;1;null;null
cal20140513;C1;galium palustre;galium palustre;;;3;null;null
cal20140513;C1;lythrum junceum;lythrum junceum;;;1;null;null
cal20140513;C1;rumex conglomeratus;rumex conglomeratus;;;1;null;null
cal20140513;C1;anthoxantum cristatum;Anthoxantum aristatum;species;;3;null;null
cal20140513;C1;asphodelus ramosus;asphodelus ramosus;;;1;null;null
cal20140513;C1;avellara fistulosa;avellara fistulosa;;;1;2;null
cal20140513;C1;lathryrus palustris;Lathyrus palustris L.;species;;1;null;null
cal20140513;C2;oenanthe fistulosa;oenanthe fistulosa;;;1;null;null
cal20140513;C2;myosotis ramossima;Myosotis ramosissima Rochel ex Schult.;species;;2;null;null
cal20140513;C2;illecebrum verticillatum;illecebrum verticillatum;;;2;null;null
cal20140513;C2;anthoxantum aristatum;Anthoxanthum aristatum Boiss.;species;;3;null;null
cal20140513;C2;ranunculus ophiglossifolius;Ranunculus ophioglossifolius Vill.;species;;3;null;null
cal20140513;C2;holcus lanatus;holcus lanatus;;;2;null;null
cal20140513;C2;avellara fistulosa;avellara fistulosa;;;2;3;null
cal20140513;C2;trifolium dubium;trifolium dubium;;;2;null;null
cal20140513;C2;juncus heterophyllus;juncus heterophyllus;;;2;null;null
cal20140513;C2;cotula coronopifolia;cotula coronopifolia;;;1;null;null
cal20140513;C2;cardo;cardo;;;1;null;null
cal20140513;C2;lolium rigidum;lolium rigidum;;;2;null;null
cal20140513;C2;panicum repens;panicum repens;;;4;null;null
cal20140513;C2;ornithopus sativus;ornithopus sativus;;;2;null;null
cal20140513;C2;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;2;null;null
cal20140513;C2;menta pulegium;Mentha pulegium L.;species;;2;null;null
cal20140513;C2;isolepis setaceus;Isolepis setacea (L.) R.Br.;species;;2;null;null
cal20140513;C2;baldellia ranunculoides;baldellia ranunculoides;;;3;null;null
cal20140513;C2;eleocharis multicaulis;eleocharis multicaulis;;;2;null;null
cal20140513;C2;juncus bufonius;juncus bufonius;;;2;null;null
cal20140513;C2;ranunculus peltatus;ranunculus peltatus;;;1;null;null
cal20140513;C2;ranunculus trilobus;ranunculus trilobus;;;2;null;null
cal20140513;C2;graminea;graminea;;;1;null;null
cal20140513;C2;arthoctheca calendula;Arctotheca calendula;species;;+;null;null
cor20140514;B;rubus ulmifolius;rubus ulmifolius;;;3;null;null
cor20140514;B;ulex minor;ulex minor;;;3;1;null
cor20140514;C1;asphodelus ramosus;asphodelus ramosus;;;4;null;null
cor20140514;C1;armeria gaditana;armeria gaditana;;;2;2;null
cor20140514;C1;cyperus longus;cyperus longus;;;1;null;null
cor20140514;C1;carex divisa;carex divisa;;;1;null;null
cor20140514;C1;ranunculus trilobus;ranunculus trilobus;;;1;null;null
cor20140514;C1;anthoxantum aristatum;Anthoxanthum aristatum Boiss.;species;;3;null;null
cor20140514;C1;rumex conglomeratus;rumex conglomeratus;;;+;null;null
cor20140514;C1;plantago lanceolata;plantago lanceolata;;;+;null;null
cor20140514;C1;briza maxima;briza maxima;;;+;null;null
cor20140514;C1;micropyropsis tuberosa;micropyropsis tuberosa;;;1;3;null
cor20140514;C2;silene laeta;silene laeta;;;1;null;null
cor20140514;C2;chaetopogon fasciculatus;chaetopogon fasciculatus;;;1;null;null
cor20140514;C2;serapias lingua;serapias lingua;;;+;null;null
cor20140514;C2;arthoctheca calendula;Arctotheca calendula;species;;1;null;null
cor20140514;C2;trifolium dubium;trifolium dubium;;;1;null;null
cor20140514;C2;lythrum junceum;lythrum junceum;;;1;null;null
cor20140514;C2;anagallis arvensis;anagallis arvensis;;;1;null;null
cor20140514;C2;juncus bufonius;juncus bufonius;;;1;null;null
cor20140514;C2;centaurium maritimum;centaurium maritimum;;;1;null;null
cor20140514;C2;lotus subbiflorus;lotus subbiflorus;;;1;null;null
cor20140514;C2;briza minor;briza minor;;;1;null;null
cor20140514;C2;panicum repens;panicum repens;;;2;null;null
cor20140514;C2;gaudinia fragilis;gaudinia fragilis;;;3;null;null
cor20140514;C2;bromus hordaceus;Bromus hordeaceus L.;species;;1;null;null
cor20140514;C2;ranunculus ophiglossifolius;Ranunculus ophioglossifolius Vill.;species;;1;null;null
cor20140514;C2;chamaemelum mixtum;chamaemelum mixtum;;;1;null;null
stg20140611;C;agrotis stolonifera;Agrostis stolonifera L.;species;;5;null;null
stg20140611;C;eleocharis multicaulis;eleocharis multicaulis;;;3;null;null
stg20140611;C;galium palustre;galium palustre;;;2;null;null
stg20140611;C;panicum repens;panicum repens;;;2;null;null
stg20140611;C;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;3;null;null
stg20140611;C;cyperus longus;cyperus longus;;;2;null;null
stg20140611;C;lotus subbiflorus;lotus subbiflorus;;;1;null;null
stg20140611;C;rumex sp;Rumex;genus;;+;null;null
stg20140611;C;baldellia  ranunculoides;baldellia  ranunculoides;;;1;null;null
stg20140611;C;lythrum junceum;lythrum junceum;;;+;null;null
stg20140611;C;juncus heterophyllus;juncus heterophyllus;;;1;null;null
stg20140611;C;phragmites australis;phragmites australis;;;1;null;null
stg20140611;B;juncus effusus;juncus effusus;;;1;null;null
stg20140611;B;avellara fistulosa;avellara fistulosa;;;+;3;null
nsn20140617;C;eleocharis multicaulis;eleocharis multicaulis;;;2;null;null
nsn20140617;C;hypericum elodes;hypericum elodes;;;5;null;null
nsn20140617;C;cynodon dactilon;Cynodon dactylon (L.) Pers.;species;;2;null;null
nsn20140617;C;galium palustre;galium palustre;;;+;null;null
nsn20140617;C;agrostis stolonifera;agrostis stolonifera;;;5;null;null
nsn20140617;C;juncus heterophyllus;juncus heterophyllus;;;2;null;null
nsn20140617;C;isolepis setaceus;Isolepis setacea (L.) R.Br.;species;;+;null;null
nsn20140617;C;panicum repens;panicum repens;;;1;null;null
nsn20140617;C;mentha pulegium;mentha pulegium;;;1;null;null
nsn20140617;C;baldellia ranunculoides;baldellia ranunculoides;;;+;null;null
nsn20140617;C;illecebrum verticillatum;illecebrum verticillatum;;;+;null;null
nsn20140617;C;eryngium corniculatum;eryngium corniculatum;;;+;null;null
nsn20140617;C;juncus effusus;juncus effusus;;;+;null;null
nsn20140617;C;briza maxima ;briza maxima ;;;+;null;null
nsn20140617;C;avellara fistulosa;avellara fistulosa;;;2;2;null
sor20140618;C;agrostis stolonifera;agrostis stolonifera;;;5;null;null
sor20140618;C;panicum repens;panicum repens;;;2;null;null
sor20140618;C;kickia cirrhosa;Kickxia cirrhosa;species;;4;null;null
sor20140618;C;compuesta;Asteraceae;family;;+;null;null
sor20140618;C;mentha pulegium;mentha pulegium;;;2;null;null
sor20140618;C;compuesta amarilla;Asteraceae;family;Yellow Asteraceae;+;null;null
sor20140618;C;anagallis arvensis;anagallis arvensis;;;3;null;null
sor20140618;C;lobelia urens;lobelia urens;;;1;null;null
sor20140618;C;thorella verticilato-inundata;Thorella verticillato-inundata (Thore) Briq.;species;;1;1;null
sor20140618;C;andryala arenaria;andryala arenaria;;;+;null;null
sor20140618;C;anthoxanthum ovatum;anthoxanthum ovatum;;;+;null;null
sor20140618;C;Pulicaria paludosa;Pulicaria paludosa;;;+;null;null
sor20140618;C;chamaemelum mixtum;chamaemelum mixtum;;;+;null;null
