ID_CENSO;Date;SECTOR;Species;Individuals;Notes;Starting time;Finishing time;Cloudiness;Wind speed;Wind direction;Waves
CP19930303;03-mar-93;ZACA;Melanitta nigra;10;-;14:00;17:00;2;1;E;0
CP19930303;03-mar-93;ZACA;Puffinus yelkouan;6;-;14:00;17:00;2;1;E;0
CP19930303;03-mar-93;ZACA;Sterna hirundo;55;-;14:00;17:00;2;1;E;0
CP19930303;03-mar-93;ZACA;Sterna sandvicensis;270;-;14:00;17:00;2;1;E;0
CP19930317;17-mar-93;CAMA;Calidris alba;181;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;CAMA;Falco tinnunculus;1;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;CAMA;Larus sp.;15;L.fuscus / L.michahellis;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;CAMA;Melanitta nigra;100;Como m›nimo;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;CAMA;Sterna sandvicensis;20;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;MAZA;Charadrius alexandrinus;1;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;MAZA;Egretta garzetta;15;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;MAZA;Haematopus ostralegus;180;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;MAZA;Himantopus himantopus;19;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;MAZA;Larus fuscus;171;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;MAZA;Larus michahellis;31;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;MAZA;Milvus migrans;1;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;MAZA;Sterna sandvicensis;36;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;ZACA;Calidris alba;10;-;12:45;14:00;0;2;E;0
CP19930317;17-mar-93;ZACA;Charadrius alexandrinus;2;-;12:45;14:00;0;2;E;0
