99;SPECI;Trifurcula;eurema;(Tutt, 1899)
100;SPECI;Trifurcula;subnitidella;(Duponchel, 1843)
101;SPECI;Trifurcula;immundella;(Zeller, 1839)
102;SPECI;Trifurcula;beirnei;Puplesis, 1984
103;SPECI;Trifurcula;squamatella;Stainton, 1849
104;GENUS;;Bohemannia;Stainton, 1859
105;SPECI;Bohemannia;pulverosella;(Stainton, 1849)
106;SPECI;Bohemannia;quadrimaculella;(Boheman, 1853)
107;GENUS;;Ectoedemia;Busck, 1907
108;SPECI;Ectoedemia;sericopeza;(Zeller, 1839)
109;SPECI;Ectoedemia;louisella;(Sircom, 1849)
110;SPECI;Ectoedemia;decentella;(Herrich-Schäffer, 1855)
111;SPECI;Ectoedemia;albibimaculella;(Larsen, 1927)
112;SPECI;Ectoedemia;weaveri;(Stainton, 1855)
113;SPECI;Ectoedemia;septembrella;(Stainton, 1849)
114;SPECI;Ectoedemia;atrifrontella;(Stainton, 1851)
115;SPECI;Ectoedemia;amani;Svensson, 1966
116;SPECI;Ectoedemia;intimella;(Zeller, 1848)
117;SPECI;Ectoedemia;hannoverella;(Glitz, 1872)
118;SPECI;Ectoedemia;turbidella;(Zeller, 1848)
119;SPECI;Ectoedemia;argyropeza;(Zeller, 1839)
120;SPECI;Ectoedemia;albifasciella;(Heinemann, 1871)
121;SPECI;Ectoedemia;subbimaculella;(Haworth, 1828)
122;SPECI;Ectoedemia;angulifasciella;(Stainton, 1849)
123;SPECI;Ectoedemia;atricollis;(Stainton, 1857)
124;SPECI;Ectoedemia;arcuatella;(Herrich-Schäffer, 1855)
125;SPECI;Ectoedemia;rubivora;(Wocke, 1860)
126;SPECI;Ectoedemia;occultella;(Linnaeus, 1767)
127;SPECI;Ectoedemia;minimella;(Zetterstedt, 1839)
128;FAMIL;;Opostegidae;
129;GENUS;;Opostega;Zeller, 1839
130;SPECI;Opostega;salaciella;(Treitschke, 1833)
131;GENUS;;Pseudopostega;Kozlov, 1985
132;SPECI;Pseudopostega;auritella;(Hübner, 1813)
133;SPECI;Pseudopostega;crepusculella;(Zeller, 1839)
134;SUPER;;Incurvarioidea;
135;FAMIL;;Heliozelidae;
136;GENUS;;Antispila;Hübner, 1825
137;SPECI;Antispila;metallella;(Denis & Schiffermüller, 1775)
138;GENUS;;Heliozela;Herrich-Schäffer, 1853
139;SPECI;Heliozela;sericiella;(Haworth, 1828)
140;SPECI;Heliozela;resplendella;(Stainton, 1851)
141;SPECI;Heliozela;hammoniella;Sorhagen, 1885
142;FAMIL;;Adelidae;
143;SUBFA;;Adelinae;
144;GENUS;;Nemophora;Hoffmannsegg, 1798
145;SPECI;Nemophora;degeerella;(Linnaeus, 1758)
146;SPECI;Nemophora;congruella;(Zeller, 1839)
147;SPECI;Nemophora;ochsenheimerella;(Hübner, 1813)
148;SPECI;Nemophora;metallica;(Poda, 1761)
149;SPECI;Nemophora;cupriacella;(Hübner, 1819)
150;SPECI;Nemophora;minimella;(Denis & Schiffermüller, 1775)
151;GENUS;;Adela;Latreille, 1796
152;SPECI;Adela;reaumurella;(Linnaeus, 1758)
153;SPECI;Adela;cuprella;(Denis & Schiffermüller, 1775)
154;SPECI;Adela;croesella;(Scopoli, 1763)
155;GENUS;;Cauchas;Zeller, 1839
156;SPECI;Cauchas;rufifrontella;(Treitschke, 1833)
157;SPECI;Cauchas;fibulella;(Denis & Schiffermüller, 1775)
158;SPECI;Cauchas;rufimitrella;(Scopoli, 1763)
159;SUBFA;;Nematopogoninae;
160;GENUS;;Nematopogon;Zeller, 1839
161;SPECI;Nematopogon;pilella;(Denis & Schiffermüller, 1775)
162;SPECI;Nematopogon;schwarziellus;Zeller, 1839
163;SPECI;Nematopogon;magna;(Zeller, 1878)
164;SPECI;Nematopogon;adansoniella;(Villers, 1789)
165;SPECI;Nematopogon;metaxella;(Hübner, 1813)
166;SPECI;Nematopogon;swammerdamella;(Linnaeus, 1758)
167;SPECI;Nematopogon;robertella;(Clerck, 1759)
168;FAMIL;;Prodoxidae;
169;GENUS;;Lampronia;Stephens, 1829
170;SPECI;Lampronia;capitella;(Clerck, 1759)
171;SPECI;Lampronia;luzella;(Hübner, 1817)
172;SPECI;Lampronia;corticella;(Linnaeus, 1758)
173;SPECI;Lampronia;morosa;Zeller, 1852
174;SPECI;Lampronia;flavimitrella;(Hübner, 1817)
175;SPECI;Lampronia;fuscatella;(Tengström, 1848)
176;FAMIL;;Incurvariidae;
177;GENUS;;Alloclemensia;Nielsen, 1981
178;SPECI;Alloclemensia;mesospilella;(Herrich-Schäffer, 1854)
179;GENUS;;Incurvaria;Haworth, 1828
180;SPECI;Incurvaria;pectinea;Haworth, 1828
181;SPECI;Incurvaria;masculella;(Denis & Schiffermüller, 1775)
182;SPECI;Incurvaria;oehlmanniella;(Hübner, 1796)
183;SPECI;Incurvaria;praelatella;(Denis & Schiffermüller, 1775)
184;SPECI;Incurvaria;koerneriella;(Zeller, 1839)
185;GENUS;;Phylloporia;Heinemann, 1870
186;SPECI;Phylloporia;bistrigella;(Haworth, 1828)
187;SUPER;;Tischerioidea;
188;FAMIL;;Tischeriidae;
189;GENUS;;Tischeria;Zeller, 1839
190;SPECI;Tischeria;ekebladella;(Bjerkander, 1795)
191;SPECI;Tischeria;dodonaea;Stainton, 1858
192;GENUS;;Emmetia;Leraut, 1993
193;SPECI;Emmetia;marginea;(Haworth, 1828)
194;SUPER;;Tineoidea;
195;FAMIL;;Tineidae;
196;SUBFA;;Myrmecozelinae;
197;GENUS;;Myrmecozela;Zeller, 1852
198;SPECI;Myrmecozela;ochraceella;(Tengström, 1848)
199;GENUS;;Haplotinea;Diakonoff & Hinton, 1956
200;SPECI;Haplotinea;ditella;(Pierce & Diakonoff, 1938)
201;SPECI;Haplotinea;insectella;(Fabricius, 1794)
202;SUBFA;;Meesiinae;
203;GENUS;;Infurcitinea;Spuler, 1910
204;SPECI;Infurcitinea;ignicomella;(Heydenreich, 1851)
205;SPECI;Infurcitinea;albicomella;(Stainton, 1851)
206;SPECI;Infurcitinea;argentimaculella;(Stainton, 1849)
207;GENUS;;Stenoptinea;Dietz, 1905
208;SPECI;Stenoptinea;cyaneimarmorella;(Millière, 1854)
209;GENUS;;Karsholtia;Gaedike, 1986
210;SPECI;Karsholtia;marianii;(Rebel, 1936)
211;GENUS;;Agnathosia;Amsel, 1954
212;SPECI;Agnathosia;mendicella;(Denis & Schiffermüller, 1775)
213;SUBFA;;Scardiinae;
214;GENUS;;Morophaga;Herrich-Schäffer, 1854
215;SPECI;Morophaga;choragella;(Denis & Schiffermüller, 1775)
216;SUBFA;;Nemapogoninae;
217;GENUS;;Triaxomera;Zagulajev, 1959
218;SPECI;Triaxomera;fulvimitrella;(Sodoffsky, 1830)
